"","Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"111","Berkeley",1910,NA,NA,-0.247,0.099
"112","Berkeley",1911,NA,NA,-0.243,0.097
"113","Berkeley",1912,NA,NA,-0.257,0.1
"114","Berkeley",1913,NA,NA,-0.268,0.1
"115","Berkeley",1914,NA,NA,-0.257,0.097
"116","Berkeley",1915,NA,NA,-0.249,0.095
"117","Berkeley",1916,NA,NA,-0.214,0.096
"118","Berkeley",1917,NA,NA,-0.201,0.096
"119","Berkeley",1918,NA,NA,-0.176,0.096
"120","Berkeley",1919,NA,NA,-0.182,0.097
"121","Berkeley",1920,NA,NA,-0.193,0.097
"122","Berkeley",1921,NA,NA,-0.167,0.098
"123","Berkeley",1922,NA,NA,-0.128,0.096
"124","Berkeley",1923,NA,NA,-0.075,0.097
"125","Berkeley",1924,NA,NA,-0.064,0.098
"126","Berkeley",1925,NA,NA,-0.065,0.1
"127","Berkeley",1926,NA,NA,-0.05,0.1
"128","Berkeley",1927,NA,NA,-0.02,0.099
"129","Berkeley",1928,NA,NA,-0.018,0.099
"130","Berkeley",1929,NA,NA,-0.026,0.1
"131","Berkeley",1930,NA,NA,-0.014,0.101
"132","Berkeley",1931,NA,NA,-0.047,0.098
"133","Berkeley",1932,NA,NA,-0.035,0.096
"134","Berkeley",1933,NA,NA,-0.017,0.093
"135","Berkeley",1934,NA,NA,0.02,0.092
"136","Berkeley",1935,NA,NA,0.053,0.089
"137","Berkeley",1936,NA,NA,0.063,0.085
"138","Berkeley",1937,NA,NA,0.048,0.081
"139","Berkeley",1938,NA,NA,0.073,0.079
"140","Berkeley",1939,NA,NA,0.113,0.076
"141","Berkeley",1940,NA,NA,0.113,0.072
"142","Berkeley",1941,NA,NA,0.134,0.071
"143","Berkeley",1942,NA,NA,0.134,0.069
"144","Berkeley",1943,NA,NA,0.127,0.07
"145","Berkeley",1944,NA,NA,0.111,0.068
"146","Berkeley",1945,NA,NA,0.072,0.066
"147","Berkeley",1946,NA,NA,0.035,0.066
"148","Berkeley",1947,NA,NA,0.042,0.064
"149","Berkeley",1948,NA,NA,0.045,0.063
"150","Berkeley",1949,NA,NA,0.013,0.062
"151","Berkeley",1950,NA,NA,0.01,0.058
"152","Berkeley",1951,NA,NA,-0.017,0.054
"153","Berkeley",1952,NA,NA,-0.04,0.047
"154","Berkeley",1953,NA,NA,-0.04,0.043
"155","Berkeley",1954,NA,NA,-0.032,0.038
"156","Berkeley",1955,NA,NA,-0.022,0.035
"157","Berkeley",1956,NA,NA,0.012,0.031
"158","Berkeley",1957,NA,NA,0.007,0.028
"159","Berkeley",1958,NA,NA,0.002,0.027
"160","Berkeley",1959,NA,NA,0.002,0.026
"161","Berkeley",1960,NA,NA,-0.019,0.026
"162","Berkeley",1961,NA,NA,-0.001,0.021
"163","Berkeley",1962,NA,NA,0.017,0.018
"164","Berkeley",1963,NA,NA,0.004,0.016
"165","Berkeley",1964,NA,NA,-0.028,0.018
"166","Berkeley",1965,NA,NA,-0.006,0.017
"167","Berkeley",1966,NA,NA,-0.024,0.017
"168","Berkeley",1967,NA,NA,-0.041,0.019
"169","Berkeley",1968,NA,NA,-0.025,0.02
"170","Berkeley",1969,NA,NA,-0.019,0.024
"171","Berkeley",1970,NA,NA,0.01,0.026
"172","Berkeley",1971,NA,NA,0.007,0.022
"173","Berkeley",1972,NA,NA,0.015,0.015
"174","Berkeley",1973,NA,NA,0.028,0.012
"175","Berkeley",1974,NA,NA,0.049,0.014
"176","Berkeley",1975,NA,NA,0.068,0.012
"177","Berkeley",1976,NA,NA,0.128,0.011
"178","Berkeley",1977,NA,NA,0.158,0.012
"179","Berkeley",1978,NA,NA,0.167,0.013
"180","Berkeley",1979,NA,NA,0.193,0.012
"181","Berkeley",1980,NA,NA,0.186,0.016
"182","Berkeley",1981,NA,NA,0.217,0.016
"183","Berkeley",1982,NA,NA,0.235,0.014
"184","Berkeley",1983,NA,NA,0.27,0.014
"185","Berkeley",1984,NA,NA,0.318,0.014
"186","Berkeley",1985,NA,NA,0.344,0.013
"187","Berkeley",1986,NA,NA,0.352,0.012
"188","Berkeley",1987,NA,NA,0.38,0.011
"189","Berkeley",1988,NA,NA,0.37,0.013
"190","Berkeley",1989,NA,NA,0.366,0.017
"191","Berkeley",1990,NA,NA,0.433,0.019
"192","Berkeley",1991,NA,NA,0.467,0.018
"193","Berkeley",1992,NA,NA,0.496,0.017
"194","Berkeley",1993,NA,NA,0.526,0.019
"195","Berkeley",1994,NA,NA,0.554,0.02
"196","Berkeley",1995,NA,NA,0.563,0.019
"197","Berkeley",1996,NA,NA,0.565,0.022
"198","Berkeley",1997,NA,NA,0.618,0.022
"199","Berkeley",1998,NA,NA,0.68,0.023
"200","Berkeley",1999,NA,NA,0.734,0.025
"201","Berkeley",2000,NA,NA,0.748,0.026
"202","Berkeley",2001,NA,NA,0.793,0.027
"203","Berkeley",2002,NA,NA,0.856,0.028
"204","Berkeley",2003,NA,NA,0.869,0.028
"205","Berkeley",2004,NA,NA,0.884,0.029
